"id_cliente","nombre","apellido","curp","correo","ciudad","delegacion","estado_civil"
45,"Ana Luisa","Corral","GFPK566338MGEYYV31","ana luisa.corral.44@fintechmasiva.com","Ciudad de México","Coyoacan","viudo/a"
46,"Alvaro","Leiva","GKFR922538NSEKPH56","alvaro.leiva.45@fintechmasiva.com","Ciudad de México","Miguel Hidalgo","casado/a"
47,"Ana María","Godoy","IWAS372591BXMAEJ52","ana maría.godoy.46@fintechmasiva.com","Ciudad de México","Milpa Alta","casado/a"
48,"Mauricio","Marrero","UVBS434917KXSKZP29","mauricio.marrero.47@fintechmasiva.com","Ciudad de México","Tlahuac","casado/a"
49,"Flavio","Gálvez","NIBZ877562QZPCWX24","flavio.gálvez.48@fintechmasiva.com","Ciudad de México","Milpa Alta","viudo/a"
50,"Eugenia","Rocha","WRHV816370QOPSWM23","eugenia.rocha.49@fintechmasiva.com","Ciudad de México","Iztacalco","soltero/a"
51,"Dulce María","Acevedo","MCOJ919634WWBMBA10","dulce maría.acevedo.50@fintechmasiva.com","Ciudad de México","Miguel Hidalgo","soltero/a"
52,"Patricio","Tamayo","GOZO928301TODRLE32","patricio.tamayo.51@fintechmasiva.com","Ciudad de México","Milpa Alta","soltero/a"
53,"Germán","Cisneros","VOCI279911KFHLUJ25","germán.cisneros.52@fintechmasiva.com","Ciudad de México","Tlalpan","soltero/a"
54,"Patricio","Vela","HRJE553416RVHWHP28","patricio.vela.53@fintechmasiva.com","Ciudad de México","Tlalpan","casado/a"
55,"Andrea","Mejía","XQNV478908MHFNJS92","andrea.mejía.54@fintechmasiva.com","Ciudad de México","Azcapotzalco","soltero/a"
56,"Guillermina","Badillo","ZMKQ968290PWFKPV26","guillermina.badillo.55@fintechmasiva.com","Ciudad de México","Tlahuac","casado/a"
57,"Paola","Ulibarri","HOYE664207JMAWYI35","paola.ulibarri.56@fintechmasiva.com","Ciudad de México","Azcapotzalco","soltero/a"
58,"José Eduardo","Meraz","ZETB440517ANGWSF80","josé eduardo.meraz.57@fintechmasiva.com","Ciudad de México","Gustavo A. Madero","casado/a"
59,"Elisa","Rojas","LPLQ679355DXPUDH44","elisa.rojas.58@fintechmasiva.com","Ciudad de México","Milpa Alta","viudo/a"
60,"Violeta","Farías","FLBL739185DIXTKN02","violeta.farías.59@fintechmasiva.com","Ciudad de México","Cuauhtemoc","viudo/a"
61,"Adela","Rael","PQUV581285JRLARE33","adela.rael.60@fintechmasiva.com","Ciudad de México","Tlalpan","viudo/a"
62,"Marisol","Sauceda","KMNY849963BCMMOD14","marisol.sauceda.61@fintechmasiva.com","Ciudad de México","Coyoacan","soltero/a"
63,"Miguel Ángel","Trejo","YITM709853LLAEMP60","miguel ángel.trejo.62@fintechmasiva.com","Ciudad de México","Alvaro Obregon","soltero/a"
64,"Silvano","Henríquez","TGIR085096RQOAHB82","silvano.henríquez.63@fintechmasiva.com","Ciudad de México","Alvaro Obregon","soltero/a"
65,"Germán","Estrada","ZNRW523922SVABZS69","germán.estrada.64@fintechmasiva.com","Ciudad de México","Gustavo A. Madero","viudo/a"
66,"Lucas","Gaytán","OJTU147537BAQQXJ91","lucas.gaytán.65@fintechmasiva.com","Ciudad de México","Benito Juarez","casado/a"
67,"Teodoro","Romo","YVWY548529GFSUQJ64","teodoro.romo.66@fintechmasiva.com","Ciudad de México","Alvaro Obregon","soltero/a"
68,"Leonel","Guillen","AQPV150468EBJAMC81","leonel.guillen.67@fintechmasiva.com","Ciudad de México","Gustavo A. Madero","casado/a"
69,"Silvano","Montoya","ZRHW071689JRDMEJ79","silvano.montoya.68@fintechmasiva.com","Ciudad de México","Tlalpan","soltero/a"
70,"María Elena","Jaramillo","NYDL786404VPUBGB43","maría elena.jaramillo.69@fintechmasiva.com","Ciudad de México","Cuajimalpa","viudo/a"
71,"Noelia","Nieves","VLIZ273851AQPIJZ15","noelia.nieves.70@fintechmasiva.com","Ciudad de México","Tlalpan","soltero/a"
72,"Pablo","Pantoja","DVRL268583OWPHLP20","pablo.pantoja.71@fintechmasiva.com","Ciudad de México","Xochimilco","viudo/a"
73,"Trinidad","Ortiz","HNYH567767BGULBG21","trinidad.ortiz.72@fintechmasiva.com","Ciudad de México","Gustavo A. Madero","casado/a"
74,"Luisa","Yáñez","FYXC579533HZTDUX18","luisa.yáñez.73@fintechmasiva.com","Ciudad de México","Venustiano Carranza","viudo/a"
75,"Margarita","Márquez","ZVBJ653520ZGHZAV99","margarita.márquez.74@fintechmasiva.com","Ciudad de México","Xochimilco","soltero/a"
76,"María del Carmen","Sotelo","VHLW752112BAGGKI75","maría del carmen.sotelo.75@fintechmasiva.com","Ciudad de México","Tlahuac","casado/a"
77,"Samuel","Badillo","YGHC722656MIJLQW35","samuel.badillo.76@fintechmasiva.com","Ciudad de México","Benito Juarez","viudo/a"
78,"Diana","Varela","KONA677212CRXINX05","diana.varela.77@fintechmasiva.com","Ciudad de México","Xochimilco","soltero/a"
79,"Magdalena","Bueno","VZPT983128FSHKMM38","magdalena.bueno.78@fintechmasiva.com","Ciudad de México","Miguel Hidalgo","soltero/a"
80,"Florencia","Ochoa","IZXJ457257KWJHBI30","florencia.ochoa.79@fintechmasiva.com","Ciudad de México","Iztapalapa","soltero/a"
81,"Norma","Rosado","UEIY710768TNYYNR50","norma.rosado.80@fintechmasiva.com","Ciudad de México","Coyoacan","viudo/a"
82,"Benito","Gamez","IMNJ011274ITEYKC16","benito.gamez.81@fintechmasiva.com","Ciudad de México","Azcapotzalco","casado/a"
83,"Esteban","Zarate","QRSG640538EVREBL99","esteban.zarate.82@fintechmasiva.com","Ciudad de México","Gustavo A. Madero","casado/a"
84,"Marisol","Alcala","QUPR996126OMESGM45","marisol.alcala.83@fintechmasiva.com","Ciudad de México","Tlalpan","casado/a"
85,"Emilia","Villalobos","MRIO235080NTFIVT43","emilia.villalobos.84@fintechmasiva.com","Ciudad de México","Gustavo A. Madero","viudo/a"
86,"Guillermina","Barrera","WPDR397386MOVLAQ95","guillermina.barrera.85@fintechmasiva.com","Ciudad de México","Tlahuac","viudo/a"
87,"Norma","Salcido","EWTJ772343OBPDAX57","norma.salcido.86@fintechmasiva.com","Ciudad de México","Tlahuac","viudo/a"
88,"Silvano","Durán","GUEJ036101TCAKTP82","silvano.durán.87@fintechmasiva.com","Ciudad de México","Gustavo A. Madero","viudo/a"
89,"María José","Padrón","OOEQ952695COCYYJ22","maría josé.padrón.88@fintechmasiva.com","Ciudad de México","Cuajimalpa","viudo/a"
90,"Karina","Vergara","NMWV735294UPLCGA69","karina.vergara.89@fintechmasiva.com","Ciudad de México","Tlalpan","casado/a"
91,"Adela","Berríos","LQEN154788GLMXRV88","adela.berríos.90@fintechmasiva.com","Ciudad de México","Milpa Alta","casado/a"
92,"Trinidad","Armenta","QNAV661199EVTKAD90","trinidad.armenta.91@fintechmasiva.com","Ciudad de México","Cuauhtemoc","soltero/a"
93,"Berta","Guerra","PMFH315350NTVUKG70","berta.guerra.92@fintechmasiva.com","Ciudad de México","Cuajimalpa","casado/a"
94,"Blanca","Borrego","YGPW138470GAMSDY43","blanca.borrego.93@fintechmasiva.com","Ciudad de México","Cuauhtemoc","soltero/a"
95,"Óscar","Ibarra","CHTF031493LWBJAO55","óscar.ibarra.94@fintechmasiva.com","Ciudad de México","Magdalena Contreras","casado/a"
96,"Vicente","Marín","PDGQ816877MTEKAB63","vicente.marín.95@fintechmasiva.com","Ciudad de México","Azcapotzalco","viudo/a"
97,"Asunción","Gaitán","WEFM113072WAISNU66","asunción.gaitán.96@fintechmasiva.com","Ciudad de México","Cuauhtemoc","casado/a"
98,"Concepción","Acevedo","IYSE351400FCMMWV83","concepción.acevedo.97@fintechmasiva.com","Ciudad de México","Alvaro Obregon","casado/a"
99,"Renato","Pizarro","GZAP102241KNIOCM02","renato.pizarro.98@fintechmasiva.com","Ciudad de México","Iztacalco","casado/a"
100,"Angélica","Cordero","PISZ697428RBOXDD44","angélica.cordero.99@fintechmasiva.com","Ciudad de México","Gustavo A. Madero","casado/a"
101,"Andrés","Corral","DQWY171211YAJUHO67","andrés.corral.100@fintechmasiva.com","Ciudad de México","Venustiano Carranza","casado/a"
102,"Aurora","Contreras","QVFB105425DZRXEG21","aurora.contreras.101@fintechmasiva.com","Ciudad de México","Tlahuac","viudo/a"
103,"Sandra","Rosas","YRMB261269TFNRZQ51","sandra.rosas.102@fintechmasiva.com","Ciudad de México","Venustiano Carranza","casado/a"
104,"Norma","Morales","JOTF312891FFERHG66","norma.morales.103@fintechmasiva.com","Ciudad de México","Cuajimalpa","soltero/a"
105,"Isaac","Cedillo","NLIA146570WPRIMX95","isaac.cedillo.104@fintechmasiva.com","Ciudad de México","Cuauhtemoc","soltero/a"
106,"Ernesto","Cepeda","QODE761498TOMSJK44","ernesto.cepeda.105@fintechmasiva.com","Ciudad de México","Benito Juarez","viudo/a"
107,"Lucas","Tapia","DAGP865465SCGMKF92","lucas.tapia.106@fintechmasiva.com","Ciudad de México","Benito Juarez","casado/a"
108,"Mario","Guevara","CMHM416116OLBNLF14","mario.guevara.107@fintechmasiva.com","Ciudad de México","Cuajimalpa","casado/a"
109,"Julia","Urías","CWOD196737OLJCDH44","julia.urías.108@fintechmasiva.com","Ciudad de México","Cuajimalpa","soltero/a"
110,"Sessa","Salinas","DWWU781394KPOGHB49","sessa.salinas.109@fintechmasiva.com","Ciudad de México","Azcapotzalco","viudo/a"
111,"Estefanía","Castro","BKCC431085OUKNDQ01","estefanía.castro.110@fintechmasiva.com","Ciudad de México","Venustiano Carranza","viudo/a"
112,"Nadia","Bueno","QAMK595861OFWZPM43","nadia.bueno.111@fintechmasiva.com","Ciudad de México","Milpa Alta","casado/a"
113,"Abelardo","Cortés","NONU832458MYKUJY04","abelardo.cortés.112@fintechmasiva.com","Ciudad de México","Iztacalco","viudo/a"
114,"Cristian","Segovia","BOQF953833FTFHFL89","cristian.segovia.113@fintechmasiva.com","Ciudad de México","Gustavo A. Madero","viudo/a"
115,"Magdalena","de Jesús","TOCC097958OGOLRA42","magdalena.de jesús.114@fintechmasiva.com","Ciudad de México","Azcapotzalco","soltero/a"
116,"Teresa","Valdez","RAPN937829NCAEFC70","teresa.valdez.115@fintechmasiva.com","Ciudad de México","Cuauhtemoc","soltero/a"
117,"Iván","Alemán","MCNF018881MWRJGT29","iván.alemán.116@fintechmasiva.com","Ciudad de México","Gustavo A. Madero","casado/a"
118,"Cecilia","Arevalo","DXUY464328FESNBQ78","cecilia.arevalo.117@fintechmasiva.com","Ciudad de México","Benito Juarez","viudo/a"
119,"Magdalena","Quesada","ZYVM083916JHVIBA98","magdalena.quesada.118@fintechmasiva.com","Ciudad de México","Magdalena Contreras","soltero/a"
120,"Antonia","Echeverría","PZWQ947673MXOPTX96","antonia.echeverría.119@fintechmasiva.com","Ciudad de México","Alvaro Obregon","casado/a"
121,"Micaela","Altamirano","GNXO693793WSUXVD22","micaela.altamirano.120@fintechmasiva.com","Ciudad de México","Azcapotzalco","soltero/a"
122,"Amelia","Negrete","FNDM170812JJDCHH01","amelia.negrete.121@fintechmasiva.com","Ciudad de México","Xochimilco","viudo/a"
123,"Mónica","Sarabia","NZKY068211NVOJFS95","mónica.sarabia.122@fintechmasiva.com","Ciudad de México","Tlahuac","casado/a"
124,"Miguel","Guerra","XDFA356946YAULOX35","miguel.guerra.123@fintechmasiva.com","Ciudad de México","Iztapalapa","casado/a"
125,"Agustín","Benavídez","VISO795575OYHRIC88","agustín.benavídez.124@fintechmasiva.com","Ciudad de México","Gustavo A. Madero","casado/a"
126,"Irma","Garrido","HYXP269877TYPOZS86","irma.garrido.125@fintechmasiva.com","Ciudad de México","Iztapalapa","soltero/a"
127,"Pascual","Vélez","ACQG893066YJSCKW38","pascual.vélez.126@fintechmasiva.com","Ciudad de México","Azcapotzalco","soltero/a"
128,"Rolando","Cano","VFWG083402RGKHNS46","rolando.cano.127@fintechmasiva.com","Ciudad de México","Benito Juarez","soltero/a"
129,"Gloria","Ocampo","QCFT854981WKWZUX08","gloria.ocampo.128@fintechmasiva.com","Ciudad de México","Alvaro Obregon","soltero/a"
130,"Irene","Tello","NOHP304727MYCKLP88","irene.tello.129@fintechmasiva.com","Ciudad de México","Gustavo A. Madero","casado/a"
131,"Leonor","Lira","FEUA750276MNQGGF68","leonor.lira.130@fintechmasiva.com","Ciudad de México","Cuajimalpa","casado/a"
132,"David","Uribe","DUKG419919FUBAFS27","david.uribe.131@fintechmasiva.com","Ciudad de México","Venustiano Carranza","soltero/a"
133,"Hernán","Negrete","OEXM326205CMDVOQ68","hernán.negrete.132@fintechmasiva.com","Ciudad de México","Gustavo A. Madero","viudo/a"
134,"Leticia","Camarillo","LNIU928957KGHGQN49","leticia.camarillo.133@fintechmasiva.com","Ciudad de México","Magdalena Contreras","viudo/a"
135,"Luis Manuel","Henríquez","OCPM873311ZEDJNQ22","luis manuel.henríquez.134@fintechmasiva.com","Ciudad de México","Iztacalco","viudo/a"
136,"Norma","Vela","CUEQ441727WHSFWN84","norma.vela.135@fintechmasiva.com","Ciudad de México","Venustiano Carranza","soltero/a"
137,"Roberto","Batista","ZCEE996152QBJEZY94","roberto.batista.136@fintechmasiva.com","Ciudad de México","Coyoacan","casado/a"
138,"Marisela","Orosco","IAHM909181JBDHVS91","marisela.orosco.137@fintechmasiva.com","Ciudad de México","Tlahuac","soltero/a"
139,"Gabriel","Peña","NVBM573462WBRWTF53","gabriel.peña.138@fintechmasiva.com","Ciudad de México","Milpa Alta","viudo/a"
140,"Pilar","Roybal","QUWD372970TMWGCC97","pilar.roybal.139@fintechmasiva.com","Ciudad de México","Xochimilco","viudo/a"
141,"Sofía","Luevano","DMKU126313DLLVAE75","sofía.luevano.140@fintechmasiva.com","Ciudad de México","Venustiano Carranza","soltero/a"
142,"Georgina","Lugo","PBMC674056RLWIJP68","georgina.lugo.141@fintechmasiva.com","Ciudad de México","Tlahuac","viudo/a"
143,"Martha","Gamboa","OZBZ846859WHKRFU43","martha.gamboa.142@fintechmasiva.com","Ciudad de México","Benito Juarez","casado/a"
144,"Esmeralda","Olivárez","JGSW496076MVBUJH69","esmeralda.olivárez.143@fintechmasiva.com","Ciudad de México","Tlahuac","casado/a"
145,"Mario","Valladares","KHHB914555GYDSMI70","mario.valladares.144@fintechmasiva.com","Ciudad de México","Benito Juarez","viudo/a"
146,"Juan","Nazario","SSNB665287GOGQWC97","juan.nazario.145@fintechmasiva.com","Ciudad de México","Magdalena Contreras","soltero/a"
147,"Luis Miguel","Becerra","MNRV506403BZSDIT14","luis miguel.becerra.146@fintechmasiva.com","Ciudad de México","Venustiano Carranza","soltero/a"
148,"Santiago","Limón","CQOI787005WZOQLK60","santiago.limón.147@fintechmasiva.com","Ciudad de México","Alvaro Obregon","viudo/a"
149,"Linda","Villareal","ZJRM000599UIVUAJ94","linda.villareal.148@fintechmasiva.com","Ciudad de México","Xochimilco","soltero/a"
150,"Luis Manuel","Murillo","SPGU286156ZZZLHZ99","luis manuel.murillo.149@fintechmasiva.com","Ciudad de México","Tlalpan","soltero/a"
151,"Renato","Reynoso","GFWC289679SSZUTY73","renato.reynoso.150@fintechmasiva.com","Ciudad de México","Tlahuac","soltero/a"
152,"Carla","Raya","BGAS952474HJRXXZ30","carla.raya.151@fintechmasiva.com","Ciudad de México","Iztacalco","casado/a"
153,"Victoria","Quintero","ZDAV943621CCPYRL36","victoria.quintero.152@fintechmasiva.com","Ciudad de México","Iztacalco","soltero/a"
154,"Tania","Hernández","YOTB094144GRHDIB82","tania.hernández.153@fintechmasiva.com","Ciudad de México","Milpa Alta","casado/a"
155,"Cynthia","Ruelas","FMUI033265DRKNWN79","cynthia.ruelas.154@fintechmasiva.com","Ciudad de México","Alvaro Obregon","viudo/a"
156,"Laura","Lemus","QYBJ134363XFUGVH99","laura.lemus.155@fintechmasiva.com","Ciudad de México","Alvaro Obregon","casado/a"
157,"Antonia","Peres","EBBO356043ZFYSGV30","antonia.peres.156@fintechmasiva.com","Ciudad de México","Xochimilco","soltero/a"
158,"Dalia","Madrigal","KNUV200398FRZDFF37","dalia.madrigal.157@fintechmasiva.com","Ciudad de México","Iztacalco","viudo/a"
159,"Francisca","Nazario","WEIM809674EVAASY80","francisca.nazario.158@fintechmasiva.com","Ciudad de México","Tlalpan","casado/a"
160,"Joaquín","Olivares","MLZE904556DGHTBE18","joaquín.olivares.159@fintechmasiva.com","Ciudad de México","Gustavo A. Madero","viudo/a"
161,"Cecilia","Moreno","GWNQ491949DSXVKO43","cecilia.moreno.160@fintechmasiva.com","Ciudad de México","Benito Juarez","viudo/a"
162,"Guillermina","Orta","YQWQ547757SWQQUW07","guillermina.orta.161@fintechmasiva.com","Ciudad de México","Benito Juarez","viudo/a"
163,"Catalina","Lomeli","MFPK397748LDEGWT12","catalina.lomeli.162@fintechmasiva.com","Ciudad de México","Tlalpan","soltero/a"
164,"Catalina","Arias","QRHD202736WEUDNP49","catalina.arias.163@fintechmasiva.com","Ciudad de México","Cuauhtemoc","casado/a"
165,"Carolina","Romo","ZTLH168551MDGMCZ13","carolina.romo.164@fintechmasiva.com","Ciudad de México","Benito Juarez","soltero/a"
166,"Diego","Mesa","JHRD945159FYSKMJ51","diego.mesa.165@fintechmasiva.com","Ciudad de México","Tlahuac","viudo/a"
167,"Hernán","Noriega","TNVF436963SSQBON86","hernán.noriega.166@fintechmasiva.com","Ciudad de México","Benito Juarez","viudo/a"
168,"Socorro","Vallejo","KGOB342100PXJVYH14","socorro.vallejo.167@fintechmasiva.com","Ciudad de México","Coyoacan","casado/a"
169,"Leticia","Puga","KKGO557382RJOMUE62","leticia.puga.168@fintechmasiva.com","Ciudad de México","Iztacalco","casado/a"
170,"Mónica","Barrios","WYPF880005JJBJNM08","mónica.barrios.169@fintechmasiva.com","Ciudad de México","Cuauhtemoc","viudo/a"
171,"Nadia","Garibay","GYUO002615LHTNFN16","nadia.garibay.170@fintechmasiva.com","Ciudad de México","Cuajimalpa","soltero/a"
172,"Felix","Rosado","XCHC474793AACINS81","felix.rosado.171@fintechmasiva.com","Ciudad de México","Tlalpan","viudo/a"
173,"Mitzy","Valadez","CVWD941799POXGUN54","mitzy.valadez.172@fintechmasiva.com","Ciudad de México","Iztapalapa","casado/a"
174,"Julio","Esquibel","FHWE620710IICVWV85","julio.esquibel.173@fintechmasiva.com","Ciudad de México","Tlahuac","casado/a"
175,"Fabiola","Matías","HYVA431679RZBNBH16","fabiola.matías.174@fintechmasiva.com","Ciudad de México","Xochimilco","casado/a"
176,"Benjamín","Alemán","HRGX733309HRIJWK31","benjamín.alemán.175@fintechmasiva.com","Ciudad de México","Azcapotzalco","soltero/a"
177,"María José","Medrano","YRZZ055247GFQWNV09","maría josé.medrano.176@fintechmasiva.com","Ciudad de México","Iztapalapa","casado/a"
178,"Concepción","Serrano","IHTZ317462IEIXXM14","concepción.serrano.177@fintechmasiva.com","Ciudad de México","Tlahuac","soltero/a"
179,"Bernabé","Montaño","CDTE952930LVHWEI08","bernabé.montaño.178@fintechmasiva.com","Ciudad de México","Tlalpan","viudo/a"
180,"Andrés","Saldaña","PZJT080524BJMYUK48","andrés.saldaña.179@fintechmasiva.com","Ciudad de México","Miguel Hidalgo","soltero/a"
181,"Rolando","Becerra","XLBQ927518JAWUTA54","rolando.becerra.180@fintechmasiva.com","Ciudad de México","Miguel Hidalgo","soltero/a"
182,"Cristobal","Blanco","IMDN011355TBHULU60","cristobal.blanco.181@fintechmasiva.com","Ciudad de México","Cuauhtemoc","casado/a"
183,"Óscar","Blanco","MYTU215622LPPVLR45","óscar.blanco.182@fintechmasiva.com","Ciudad de México","Gustavo A. Madero","viudo/a"
184,"Yolanda","Ávila","STOS957439ONNOSJ97","yolanda.ávila.183@fintechmasiva.com","Ciudad de México","Tlalpan","soltero/a"
185,"Alejandro","Pacheco","AYON191428QVZPEK46","alejandro.pacheco.184@fintechmasiva.com","Ciudad de México","Miguel Hidalgo","viudo/a"
186,"Zoé","Meléndez","TVXU076758KOVWMM00","zoé.meléndez.185@fintechmasiva.com","Ciudad de México","Miguel Hidalgo","viudo/a"
187,"Margarita","Velázquez","PISZ213942LBIQQL00","margarita.velázquez.186@fintechmasiva.com","Ciudad de México","Tlalpan","viudo/a"
188,"Tania","Alejandro","NIWD169800KHKTBL11","tania.alejandro.187@fintechmasiva.com","Ciudad de México","Cuauhtemoc","soltero/a"
189,"Gregorio","Viera","ZBGM855113CGTBOX35","gregorio.viera.188@fintechmasiva.com","Ciudad de México","Cuauhtemoc","viudo/a"
190,"Angélica","Grijalva","XZZK927264EOGHIH23","angélica.grijalva.189@fintechmasiva.com","Ciudad de México","Cuajimalpa","soltero/a"
191,"Natalia","Gollum","KNLJ504293CDMGZO01","natalia.gollum.190@fintechmasiva.com","Ciudad de México","Cuajimalpa","viudo/a"
192,"Benito","Quiñones","HYET696877INOPEL75","benito.quiñones.191@fintechmasiva.com","Ciudad de México","Tlalpan","viudo/a"
193,"Yeni","Fierro","EGZM394785GFQZAZ39","yeni.fierro.192@fintechmasiva.com","Ciudad de México","Tlahuac","soltero/a"
194,"Abelardo","Menchaca","CMIM167717GZRHFO22","abelardo.menchaca.193@fintechmasiva.com","Ciudad de México","Milpa Alta","viudo/a"
195,"Lucía","Vargas","ISPM270363BEQCTW99","lucía.vargas.194@fintechmasiva.com","Ciudad de México","Iztacalco","casado/a"
